name,has_lcd_region,full_n_stickers,full_n_windows,full_lockability,full_lockability_per_pair,full_mean_p_lock,full_max_p_lock,full_mean_p_pi,full_mean_p_polar,full_mean_g_charge,full_mean_p_lock_eff,lcd_n_stickers,lcd_n_windows,lcd_lockability,lcd_lockability_per_pair,lcd_mean_p_lock,lcd_max_p_lock,lcd_mean_p_pi,lcd_mean_p_polar,lcd_mean_g_charge,lcd_mean_p_lock_eff
fus_P525L,True,128,128,3541.6048992182386,0.43572894921484234,0.46880301131610147,0.8960958323125655,0.28403001659298976,0.2638791527481093,0.8917026972106632,0.43572894921484273,66,66,1054.103591265302,0.49142358567146943,0.4929812521316649,0.8835128426783683,0.29804095030865657,0.28155523628417845,0.996045560975904,0.4914235856714677
hnrnpa1_full_wt,True,76,76,876.4840573832201,0.3075382657484983,0.44209468350273584,0.924423531496039,0.27584607358567,0.23134915713816998,0.6702916400831554,0.30753826574849835,51,51,443.0679156857616,0.34750424759667575,0.4646467304634539,0.8972215927916729,0.29364752570801955,0.2532205970110203,0.7427254730242266,0.34750424759667586
hnrnpa1_D262V,True,76,76,974.37384868327,0.34188556094149825,0.44209468350273584,0.924423531496039,0.27584607358567,0.23134915713816998,0.7282423620020653,0.3418855609414986,51,51,499.48213252760877,0.39175069217851666,0.4646467304634539,0.8972215927916729,0.29364752570801955,0.2532205970110203,0.8161603038973095,0.3917506921785169
prp_mature_wt,False,49,49,333.0450283487844,0.28320155471835406,0.4636383939365418,0.9227618628456906,0.2786579402230996,0.26297873622844303,0.6180465391687378,0.283201554718354,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
httex1_q21_wt,False,29,29,121.16945181577339,0.2984469256546142,0.3013395754346672,0.9417606458620174,0.04343845924787631,0.27066848301654484,0.9955230796762743,0.298446925654615,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
httex1_q46,False,54,54,414.91785235137087,0.28994958235595447,0.2909341798836844,0.985228143527515,0.014968049397408527,0.28059282794841367,0.9987298185524579,0.28994958235595136,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
iapp_mature_wt,False,10,10,16.797307867701985,0.37327350817115523,0.41847468917909114,0.8102906917483754,0.22914734783398355,0.256214121416824,0.8843734536148107,0.3732735081711551,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
tia1_full_wt,True,100,100,2105.9085242446663,0.425436065503973,0.46136291551270187,0.8519255727405974,0.26088078097763295,0.2602053243515955,0.9003843935117098,0.4254360655039741,45,45,479.18097988536573,0.48402119180339975,0.48430741938579547,0.8532385086389638,0.2680851551352926,0.27963867543136617,0.9990820052265492,0.4840211918033999
ewsr1_full_wt,True,136,136,4006.217698016247,0.43640715664665003,0.45891092612948453,0.918254685123212,0.27363720677626946,0.26080112046362186,0.9246819934148265,0.436407156646647,88,88,1844.063946791865,0.48173039362378917,0.4851799597731135,0.8370789707825226,0.2877683546993311,0.27788937220453536,0.9916905645506605,0.4817303936237914
taf15_full_wt,True,136,136,3008.2290232333658,0.32769379338054094,0.4342591777252264,0.893089567976777,0.2824435439794923,0.21798311972636855,0.7660142650926302,0.32769379338055216,73,73,1059.1648580021522,0.40303076788514164,0.4919602198111848,0.8018317470709393,0.29009746770501976,0.2778847546841076,0.8081857382257498,0.40303076788514086
hnrnpa2b1_full_wt,True,71,71,788.8981567781116,0.31746404699320385,0.432376851026642,0.9126883107916608,0.27994153758841606,0.210746089746025,0.7035313606927143,0.3174640469932044,47,47,407.02826049892116,0.3765293806650519,0.45444796803982046,0.8831667679283253,0.28220647435134744,0.2472654518057234,0.8167861424913488,0.3765293806650518
ddx4_full_wt,True,125,125,2259.3232605551657,0.29152558200711814,0.4264583795310613,0.8760436020437096,0.22535201995509863,0.24046608160826802,0.6869918735839341,0.29152558200712014,44,44,243.18482837928687,0.25706641477725883,0.43630881613161554,0.8450017159748818,0.24732117833314776,0.24200352587439763,0.5948075597159439,0.2570664147772595
npm1_full_wt,True,35,35,120.69891542913766,0.20285532004897086,0.41489142986187627,0.8038823038487907,0.19753809273844164,0.2563011038551777,0.46469731424906896,0.20285532004897106,21,21,37.934989433008255,0.18064280682384884,0.41644737801252685,0.7868448933109056,0.18866278304491374,0.26157934727194887,0.3951022950314681,0.18064280682384884
ataxin3_q14_wt,False,76,76,734.4457961114153,0.25770027933733874,0.39760394660762566,0.8623557853018495,0.1490304091029415,0.2766776177391128,0.6248643038866755,0.25770027933733947,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
tia1_P362L,True,100,100,2105.9085242446663,0.425436065503973,0.46136291551270187,0.8519255727405974,0.26088078097763295,0.2602053243515955,0.9003843935117098,0.4254360655039741,45,45,479.18097988536573,0.48402119180339975,0.48430741938579547,0.8532385086389638,0.2680851551352926,0.27963867543136617,0.9990820052265492,0.4840211918033999
ataxin3_q72,False,136,136,2720.9667204574907,0.29640160353567435,0.3357027216131305,0.9099184425670636,0.06137633423922627,0.2821602209752522,0.8835363034942292,0.2964016035356674,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
